Date,Year,Month,Country,CornExportValue
2019-01-01,2019,1,China,197072.0
2019-01-01,2019,1,Japan,279633298.0
2019-01-01,2019,1,Mexico,264082196.0
2019-01-01,2019,1,Canada,68980895.0
2019-01-01,2019,1,Colombia,86279684.0
2019-01-01,2019,1,South Korea,26005627.0
2019-02-01,2019,2,China,697949.0
2019-02-01,2019,2,Japan,182952823.0
2019-02-01,2019,2,Mexico,212543012.0
2019-02-01,2019,2,Canada,53790494.0
2019-02-01,2019,2,Colombia,40447013.0
2019-02-01,2019,2,South Korea,63748071.0
2019-03-01,2019,3,China,50702.0
2019-03-01,2019,3,Japan,205073543.0
2019-03-01,2019,3,Mexico,214701412.0
2019-03-01,2019,3,Canada,51033090.0
2019-03-01,2019,3,Colombia,92038314.0
2019-03-01,2019,3,South Korea,77970144.0
2019-04-01,2019,4,China,121625.0
2019-04-01,2019,4,Japan,322085629.0
2019-04-01,2019,4,Mexico,256112394.0
2019-04-01,2019,4,Canada,52459804.0
2019-04-01,2019,4,Colombia,96038244.0
2019-04-01,2019,4,South Korea,117758278.0
2019-05-01,2019,5,China,10853464.0
2019-05-01,2019,5,Japan,247275669.0
2019-05-01,2019,5,Mexico,293685817.0
2019-05-01,2019,5,Canada,37223403.0
2019-05-01,2019,5,Colombia,90509458.0
2019-05-01,2019,5,South Korea,56016350.0
2019-06-01,2019,6,China,23344172.0
2019-06-01,2019,6,Japan,204836354.0
2019-06-01,2019,6,Mexico,167969215.0
2019-06-01,2019,6,Canada,37132895.0
2019-06-01,2019,6,Colombia,32861828.0
2019-06-01,2019,6,South Korea,1169034.0
2019-07-01,2019,7,China,87519.0
2019-07-01,2019,7,Japan,191276883.0
2019-07-01,2019,7,Mexico,245493452.0
2019-07-01,2019,7,Canada,46168897.0
2019-07-01,2019,7,Colombia,46121967.0
2019-07-01,2019,7,South Korea,13451694.0
2019-08-01,2019,8,China,9248244.0
2019-08-01,2019,8,Japan,88215008.0
2019-08-01,2019,8,Mexico,271804923.0
2019-08-01,2019,8,Canada,29448485.0
2019-08-01,2019,8,Colombia,15205198.0
2019-08-01,2019,8,South Korea,1830318.0
2019-09-01,2019,9,China,12325509.0
2019-09-01,2019,9,Japan,85011303.0
2019-09-01,2019,9,Mexico,187181775.0
2019-09-01,2019,9,Canada,28232317.0
2019-09-01,2019,9,Colombia,3093354.0
2019-09-01,2019,9,South Korea,1549004.0
2019-10-01,2019,10,China,333796.0
2019-10-01,2019,10,Japan,58065052.0
2019-10-01,2019,10,Mexico,217970540.0
2019-10-01,2019,10,Canada,28294339.0
2019-10-01,2019,10,Colombia,50762013.0
2019-10-01,2019,10,South Korea,1250156.0
2019-11-01,2019,11,China,863760.0
2019-11-01,2019,11,Japan,59572716.0
2019-11-01,2019,11,Mexico,231425966.0
2019-11-01,2019,11,Canada,32135608.0
2019-11-01,2019,11,Colombia,76059874.0
2019-11-01,2019,11,South Korea,1378876.0
2019-12-01,2019,12,China,249319.0
2019-12-01,2019,12,Japan,96308928.0
2019-12-01,2019,12,Mexico,232870759.0
2019-12-01,2019,12,Canada,37882669.0
2019-12-01,2019,12,Colombia,55800073.0
2019-12-01,2019,12,South Korea,2130207.0
2020-01-01,2020,1,China,306311.0
2020-01-01,2020,1,Japan,79748933.0
2020-01-01,2020,1,Mexico,192063776.0
2020-01-01,2020,1,Canada,52975547.0
2020-01-01,2020,1,Colombia,95622519.0
2020-01-01,2020,1,South Korea,1559319.0
2020-02-01,2020,2,China,10202.0
2020-02-01,2020,2,Japan,205722669.0
2020-02-01,2020,2,Mexico,233517928.0
2020-02-01,2020,2,Canada,49398271.0
2020-02-01,2020,2,Colombia,98702677.0
2020-02-01,2020,2,South Korea,27580107.0
2020-03-01,2020,3,China,10830.0
2020-03-01,2020,3,Japan,251412121.0
2020-03-01,2020,3,Mexico,229447714.0
2020-03-01,2020,3,Canada,61148613.0
2020-03-01,2020,3,Colombia,76624019.0
2020-03-01,2020,3,South Korea,90305883.0
2020-04-01,2020,4,China,105075.0
2020-04-01,2020,4,Japan,203437984.0
2020-04-01,2020,4,Mexico,264338118.0
2020-04-01,2020,4,Canada,33055270.0
2020-04-01,2020,4,Colombia,103674887.0
2020-04-01,2020,4,South Korea,94176561.0
2020-05-01,2020,5,China,18798116.0
2020-05-01,2020,5,Japan,247048501.0
2020-05-01,2020,5,Mexico,228351803.0
2020-05-01,2020,5,Canada,27595604.0
2020-05-01,2020,5,Colombia,76177909.0
2020-05-01,2020,5,South Korea,121548841.0
2020-06-01,2020,6,China,42145699.0
2020-06-01,2020,6,Japan,192394133.0
2020-06-01,2020,6,Mexico,240965561.0
2020-06-01,2020,6,Canada,23512570.0
2020-06-01,2020,6,Colombia,58956708.0
2020-06-01,2020,6,South Korea,89700217.0
2020-07-01,2020,7,China,69668352.0
2020-07-01,2020,7,Japan,176626788.0
2020-07-01,2020,7,Mexico,227727905.0
2020-07-01,2020,7,Canada,25271178.0
2020-07-01,2020,7,Colombia,62464886.0
2020-07-01,2020,7,South Korea,37356740.0
2020-08-01,2020,8,China,190016668.0
2020-08-01,2020,8,Japan,134067112.0
2020-08-01,2020,8,Mexico,211381558.0
2020-08-01,2020,8,Canada,30007844.0
2020-08-01,2020,8,Colombia,68112118.0
2020-08-01,2020,8,South Korea,21487173.0
2020-09-01,2020,9,China,187407325.0
2020-09-01,2020,9,Japan,83787298.0
2020-09-01,2020,9,Mexico,178305019.0
2020-09-01,2020,9,Canada,30920801.0
2020-09-01,2020,9,Colombia,77997441.0
2020-09-01,2020,9,South Korea,46775340.0
2020-10-01,2020,10,China,190789968.0
2020-10-01,2020,10,Japan,61805049.0
2020-10-01,2020,10,Mexico,208460962.0
2020-10-01,2020,10,Canada,28420783.0
2020-10-01,2020,10,Colombia,60013443.0
2020-10-01,2020,10,South Korea,21339993.0
2020-11-01,2020,11,China,231953991.0
2020-11-01,2020,11,Japan,86058730.0
2020-11-01,2020,11,Mexico,245380131.0
2020-11-01,2020,11,Canada,27341892.0
2020-11-01,2020,11,Colombia,37869686.0
2020-11-01,2020,11,South Korea,1700606.0
2020-12-01,2020,12,China,310424322.0
2020-12-01,2020,12,Japan,141284533.0
2020-12-01,2020,12,Mexico,269075678.0
2020-12-01,2020,12,Canada,40462462.0
2020-12-01,2020,12,Colombia,64560487.0
2020-12-01,2020,12,South Korea,1662624.0
2021-01-01,2021,1,China,257421119.0
2021-01-01,2021,1,Japan,311661951.0
