Date,Country,Commodity,weeklyExports,grossNewSales
2009-09-03,CANADA,Corn,22093,181001
2009-09-03,MEXICO,Corn,80117,348669
2009-09-03,GUATEMALA,Corn,0,91826
2009-09-03,HONDURAS,Corn,0,2858
2009-09-03,NICARAGUA,Corn,0,0
2009-09-03,COSTA RICA,Corn,0,2700
2009-09-03,PANAMA,Corn,0,0
2009-09-03,CUBA,Corn,0,50000
2009-09-03,JAMAICA,Corn,0,0
2009-09-03,DOMINICAN REPUBLIC,Corn,0,91490
2009-09-03,LEEWARD-WINDWARD ISLANDS,Corn,0,1050
2009-09-03,BARBADOS,Corn,0,1500
2009-09-03,TRINIDAD AND TOBAGO,Corn,0,6000
2009-09-03,FRENCH WEST INDIES,Corn,0,9650
2009-09-03,COLOMBIA,Corn,0,354071
2009-09-03,VENEZUELA,Corn,25500,53744
2009-09-03,ECUADOR,Corn,0,0
2009-09-03,PERU,Corn,23510,160010
2009-09-03,UNITED KINGDOM,Corn,0,190
2009-09-03,SPAIN,Corn,0,80
2009-09-03,SYRIA,Corn,60000,25000
2009-09-03,VIETNAM,Corn,0,5582
2009-09-03,MALAYSIA,Corn,178,168
2009-09-03,INDONESIA,Corn,0,1397
2009-09-03,"KOREA, REPUBLIC OF",Corn,57750,291076
2009-09-03,HONG KONG,Corn,0,1167
2009-09-03,TAIWAN,Corn,4272,385903
2009-09-03,JAPAN,Corn,88950,2026034
2009-09-03,"OTHER PACIFIC ISLANDS, NEC",Corn,0,1640
2009-09-03,MOROCCO,Corn,17997,19939
2009-09-03,ALGERIA,Corn,26447,26447
2009-09-03,TUNISIA,Corn,0,20000
2009-09-03,EGYPT,Corn,130136,190136
2009-09-03,UNKNOWN,Corn,0,621414
2009-09-10,CANADA,Corn,21121,15173
2009-09-10,MEXICO,Corn,143545,165669
2009-09-10,GUATEMALA,Corn,18859,23977
2009-09-10,EL SALVADOR,Corn,16589,505
2009-09-10,HONDURAS,Corn,12319,279
2009-09-10,NICARAGUA,Corn,4718,0
2009-09-10,COSTA RICA,Corn,2775,22775
2009-09-10,PANAMA,Corn,9411,5000
2009-09-10,CUBA,Corn,26068,1068
2009-09-10,JAMAICA,Corn,0,1000
2009-09-10,DOMINICAN REPUBLIC,Corn,0,32170
2009-09-10,LEEWARD-WINDWARD ISLANDS,Corn,600,100
2009-09-10,BARBADOS,Corn,4386,0
2009-09-10,TRINIDAD AND TOBAGO,Corn,0,4700
2009-09-10,FRENCH WEST INDIES,Corn,6541,0
2009-09-10,COLOMBIA,Corn,17370,15651
2009-09-10,VENEZUELA,Corn,27812,27100
2009-09-10,SURINAM,Corn,0,0
2009-09-10,ECUADOR,Corn,0,0
2009-09-10,PERU,Corn,45970,8970
2009-09-10,ICELAND,Corn,0,0
2009-09-10,UNITED KINGDOM,Corn,0,0
2009-09-10,SWITZERLAND,Corn,0,0
2009-09-10,SPAIN,Corn,40,0
2009-09-10,TURKEY,Corn,0,0
2009-09-10,SYRIA,Corn,0,0
2009-09-10,LEBANON,Corn,0,0
2009-09-10,IRAN,Corn,0,0
2009-09-10,ISRAEL,Corn,0,0
2009-09-10,SAUDI ARABIA,Corn,0,0
2009-09-10,UNITED ARAB EMIRATES,Corn,0,0
2009-09-10,VIETNAM,Corn,4039,200
2009-09-10,MALAYSIA,Corn,764,2000
2009-09-10,SINGAPORE,Corn,0,0
2009-09-10,INDONESIA,Corn,0,0
2009-09-10,"CHINA, PEOPLES REPUBLIC OF",Corn,0,0
2009-09-10,"KOREA, REPUBLIC OF",Corn,116096,268371
2009-09-10,HONG KONG,Corn,613,387
2009-09-10,TAIWAN,Corn,88367,228774
2009-09-10,JAPAN,Corn,448102,174175
2009-09-10,"OTHER PACIFIC ISLANDS, NEC",Corn,0,0
2009-09-10,MOROCCO,Corn,14306,0
2009-09-10,ALGERIA,Corn,0,0
2009-09-10,TUNISIA,Corn,22135,2135
2009-09-10,LIBYA,Corn,0,0
2009-09-10,EGYPT,Corn,109911,4261
2009-09-10,SENEGAL,Corn,0,0
2009-09-10,"WESTERN AFRICA, NEC",Corn,0,0
2009-09-10,UNKNOWN,Corn,0,50800
2009-09-17,CANADA,Corn,15979,27478
2009-09-17,MEXICO,Corn,180946,452380
2009-09-17,GUATEMALA,Corn,34845,11049
2009-09-17,EL SALVADOR,Corn,14200,2200
2009-09-17,HONDURAS,Corn,0,7200
2009-09-17,NICARAGUA,Corn,0,0
2009-09-17,COSTA RICA,Corn,6687,0
2009-09-17,PANAMA,Corn,0,13350
2009-09-17,CUBA,Corn,0,0
2009-09-17,JAMAICA,Corn,15636,18500
2009-09-17,DOMINICAN REPUBLIC,Corn,10989,3420
2009-09-17,LEEWARD-WINDWARD ISLANDS,Corn,0,0
2009-09-17,BARBADOS,Corn,0,3000
2009-09-17,TRINIDAD AND TOBAGO,Corn,6600,3000
2009-09-17,FRENCH WEST INDIES,Corn,0,1000
2009-09-17,COLOMBIA,Corn,44020,52972
2009-09-17,VENEZUELA,Corn,0,10300
2009-09-17,SURINAM,Corn,0,0
2009-09-17,ECUADOR,Corn,0,0
2009-09-17,PERU,Corn,0,5000
2009-09-17,UNITED KINGDOM,Corn,0,0
2009-09-17,SWITZERLAND,Corn,0,0
2009-09-17,SPAIN,Corn,200,500
2009-09-17,TURKEY,Corn,0,0
2009-09-17,SYRIA,Corn,0,0
2009-09-17,LEBANON,Corn,0,0
2009-09-17,IRAN,Corn,0,0
2009-09-17,ISRAEL,Corn,0,0
2009-09-17,JORDAN,Corn,0,0
2009-09-17,SAUDI ARABIA,Corn,47376,1376
2009-09-17,VIETNAM,Corn,157,700
2009-09-17,MALAYSIA,Corn,0,0
2009-09-17,SINGAPORE,Corn,0,0
2009-09-17,INDONESIA,Corn,325,0
2009-09-17,"CHINA, PEOPLES REPUBLIC OF",Corn,0,0
2009-09-17,"KOREA, REPUBLIC OF",Corn,235467,89918
2009-09-17,HONG KONG,Corn,760,440
2009-09-17,TAIWAN,Corn,36988,16070
2009-09-17,JAPAN,Corn,276960,61122
2009-09-17,"OTHER PACIFIC ISLANDS, NEC",Corn,380,0
2009-09-17,MOROCCO,Corn,26799,1799
2009-09-17,ALGERIA,Corn,0,0
2009-09-17,TUNISIA,Corn,0,0
2009-09-17,LIBYA,Corn,17298,0
2009-09-17,EGYPT,Corn,65699,5699
2009-09-17,UNKNOWN,Corn,0,60206
2009-09-24,CANADA,Corn,35641,10822
2009-09-24,MEXICO,Corn,130511,189966
2009-09-24,GUATEMALA,Corn,0,94920
2009-09-24,EL SALVADOR,Corn,0,0
2009-09-24,HONDURAS,Corn,0,117
2009-09-24,NICARAGUA,Corn,0,0
2009-09-24,COSTA RICA,Corn,0,0
2009-09-24,PANAMA,Corn,28882,904
2009-09-24,CUBA,Corn,0,0
2009-09-24,JAMAICA,Corn,0,0
2009-09-24,DOMINICAN REPUBLIC,Corn,17727,1197
2009-09-24,LEEWARD-WINDWARD ISLANDS,Corn,28125,0
2009-09-24,BARBADOS,Corn,0,1500
2009-09-24,TRINIDAD AND TOBAGO,Corn,0,3000
2009-09-24,FRENCH WEST INDIES,Corn,0,0
2009-09-24,COLOMBIA,Corn,49583,68968
2009-09-24,VENEZUELA,Corn,0,40000
2009-09-24,SURINAM,Corn,0,0
2009-09-24,ECUADOR,Corn,0,0
2009-09-24,PERU,Corn,32746,49746
2009-09-24,CHILE,Corn,0,0
2009-09-24,UNITED KINGDOM,Corn,0,0
2009-09-24,SWITZERLAND,Corn,0,0
2009-09-24,SPAIN,Corn,140,0
2009-09-24,TURKEY,Corn,0,0
2009-09-24,SYRIA,Corn,27718,2718
2009-09-24,LEBANON,Corn,0,0
2009-09-24,IRAN,Corn,0,0
2009-09-24,ISRAEL,Corn,0,0
2009-09-24,JORDAN,Corn,0,0
2009-09-24,SAUDI ARABIA,Corn,0,0
2009-09-24,UNITED ARAB EMIRATES,Corn,0,0
2009-09-24,VIETNAM,Corn,0,500
2009-09-24,MALAYSIA,Corn,1563,0
2009-09-24,SINGAPORE,Corn,0,0
2009-09-24,INDONESIA,Corn,72,0
2009-09-24,"CHINA, PEOPLES REPUBLIC OF",Corn,0,0
2009-09-24,"KOREA, REPUBLIC OF",Corn,197050,145844
2009-09-24,HONG KONG,Corn,274,714
2009-09-24,TAIWAN,Corn,29064,115871
2009-09-24,JAPAN,Corn,280023,489533
2009-09-24,"OTHER PACIFIC ISLANDS, NEC",Corn,0,0
2009-09-24,MOROCCO,Corn,0,0
2009-09-24,ALGERIA,Corn,0,0
