State,Date,Temperature_2m_mean,Temperature_2m_min,Temperature_2m_max,Precipitation_sum
Iowa,2023-04-09,12.413917,6.6285,19.0285,0.0
Iowa,2023-04-10,13.736832,7.2285004,20.828499,0.0
Iowa,2023-04-11,15.584751,8.778501,24.1285,0.0
Iowa,2023-04-12,19.824331,14.8785,25.978498,0.0
Iowa,2023-04-13,19.413916,13.1285,25.2785,0.0
Iowa,2023-04-14,19.320166,12.9785,24.8785,0.0
Iowa,2023-04-15,16.343084,10.7285,23.3785,1.7
Iowa,2023-04-16,3.2930832,1.6285,6.3285003,1.5000001
Iowa,2023-04-17,6.436834,1.8285,14.0785,0.1
Iowa,2023-04-18,7.6972504,0.1285,15.4785,0.0
Iowa,2023-04-19,14.624332,8.8785,23.7785,1.1
Iowa,2023-04-20,14.895167,10.6285,20.978498,29.299997
Iowa,2023-04-21,6.688917,4.5785003,9.4285,0.0
Iowa,2023-04-22,2.9180832,-0.22150001,5.6785,0.1
Iowa,2023-04-23,3.73475,-1.3715,9.3785,0.0
Iowa,2023-04-24,5.7597504,-1.1215,13.6785,0.0
Iowa,2023-04-25,8.466,2.8285,13.8785,0.3
Iowa,2023-04-26,8.170166,2.1285,14.3785,0.0
Iowa,2023-04-27,11.801415,5.1785,20.078499,0.0
Iowa,2023-04-28,14.278499,6.9285,20.4285,0.6
Iowa,2023-04-29,9.795166,5.0285,14.6785,4.4
Iowa,2023-04-30,7.7972507,4.2285004,11.8285,0.0
Iowa,2023-05-01,10.005584,5.2785,14.6285,0.0
Iowa,2023-05-02,9.851417,4.5785003,15.528501,0.0
Iowa,2023-05-03,10.811833,1.5285001,18.6785,0.0
Iowa,2023-05-04,14.838914,5.8785,24.4285,0.0
Iowa,2023-05-05,16.68683,9.6785,22.4285,1.8
Iowa,2023-05-06,17.48475,13.3285,25.1285,21.900003
Iowa,2023-05-07,20.440998,12.2285,28.6285,0.0
Iowa,2023-05-08,18.991,14.5785,24.078499,2.3999999
Iowa,2023-05-09,17.743082,10.8785,24.0285,0.1
Iowa,2023-05-10,19.284748,13.2285,26.228498,0.0
Iowa,2023-05-11,21.124327,16.1785,25.978498,2.1000001
Iowa,2023-05-12,20.39725,17.1285,25.328499,15.3
Iowa,2023-05-13,20.665998,17.078499,24.9285,12.2
Iowa,2023-05-14,17.745163,14.9285,23.9285,15.599999
Iowa,2023-05-15,14.282668,12.1285,18.3785,0.1
Iowa,2023-05-16,17.259748,9.8785,25.1285,0.0
Iowa,2023-05-17,17.584747,12.4285,23.328499,0.0
Iowa,2023-05-18,19.157667,12.6785,26.4285,0.0
Iowa,2023-05-19,15.757667,10.6285,23.9285,0.2
Iowa,2023-05-20,13.070167,7.0785003,19.6785,0.0
Iowa,2023-05-21,16.0535,8.0785,23.078499,0.0
Iowa,2023-05-22,18.947248,11.9785,25.6285,0.0
Iowa,2023-05-23,19.89725,11.7285,26.3785,0.0
Iowa,2023-05-24,20.965998,12.8785,28.5285,0.0
Iowa,2023-05-25,19.84933,13.2285,26.0285,0.3
Iowa,2023-05-26,17.205584,9.528501,23.5285,0.0
Iowa,2023-05-27,18.420166,11.2285,25.478498,0.0
Iowa,2023-05-28,19.90975,11.8285,27.228498,0.0
Iowa,2023-05-29,21.263914,12.8785,28.728498,0.0
Iowa,2023-05-30,23.670168,16.578499,30.1785,0.0
Iowa,2023-05-31,23.732666,17.6285,29.9285,0.0
Iowa,2023-06-01,22.734749,18.978498,27.8785,6.7
Iowa,2023-06-02,24.276415,19.0285,29.978498,0.3
Iowa,2023-06-03,24.595167,18.9285,30.9285,0.0
Iowa,2023-06-04,24.278496,19.078499,29.478498,0.5
Iowa,2023-06-05,22.9285,17.328499,28.978498,0.0
Iowa,2023-06-06,23.238914,17.0285,30.6785,0.4
Iowa,2023-06-07,21.422249,18.078499,26.1285,1.3000001
Iowa,2023-06-08,20.432665,16.978498,24.4285,0.0
Iowa,2023-06-09,19.628498,13.278501,26.1785,0.0
Iowa,2023-06-10,21.451414,15.1285,27.828499,0.0
Iowa,2023-06-11,18.840998,15.778501,24.5285,13.3
Iowa,2023-06-12,16.151417,8.6785,23.0285,0.0
Iowa,2023-06-13,20.20975,14.278501,27.5285,0.0
Iowa,2023-06-14,22.118082,14.778501,28.7785,0.0
Iowa,2023-06-15,23.201414,14.9285,30.9285,0.0
Iowa,2023-06-16,20.465998,13.6285,28.9285,0.0
Iowa,2023-06-17,21.06183,14.9285,28.578499,0.1
Iowa,2023-06-18,22.818083,18.228498,27.7785,2.8999999
Iowa,2023-06-19,23.536833,17.8785,29.728498,0.0
Iowa,2023-06-20,24.772253,18.8785,29.9285,0.0
Iowa,2023-06-21,24.693083,19.4285,30.1785,0.1
Iowa,2023-06-22,25.168081,19.328499,30.328499,0.0
Iowa,2023-06-23,25.505583,20.078499,29.978498,0.0
Iowa,2023-06-24,24.638922,20.828499,31.3785,7.0
Iowa,2023-06-25,22.026415,18.6785,25.1785,2.3
Iowa,2023-06-26,21.734749,17.6785,25.7785,2.1
Iowa,2023-06-27,21.443083,14.778501,28.0285,0.0
Iowa,2023-06-28,23.791,19.6785,30.978498,0.3
Iowa,2023-06-29,25.56392,21.6285,30.728498,1.2
Iowa,2023-06-30,24.520166,20.2785,29.478498,7.2999997
Iowa,2023-07-01,22.603498,19.728498,27.8785,11.000001
Iowa,2023-07-02,23.063913,19.1285,28.2785,2.3
Iowa,2023-07-03,24.33475,18.0285,30.1285,0.0
Iowa,2023-07-04,25.595167,19.578499,31.1785,0.0
Iowa,2023-07-05,23.740997,19.9285,28.9285,9.3
Iowa,2023-07-06,19.305582,14.4785,23.8785,0.0
Iowa,2023-07-07,16.813915,12.4285,21.478498,10.0
Iowa,2023-07-08,18.228498,12.5785,24.728498,0.0
Iowa,2023-07-09,19.880583,13.4785,25.6285,0.0
Iowa,2023-07-10,22.255583,15.778501,29.4285,0.0
Iowa,2023-07-11,24.272247,18.6785,29.1285,13.099999
Iowa,2023-07-12,23.153502,18.9285,27.6785,27.4
Iowa,2023-07-13,22.645166,16.828499,28.078499,0.2
Iowa,2023-07-14,23.8285,20.8785,28.6785,1.7
Iowa,2023-07-15,22.559748,18.1285,27.078499,2.6999998
Iowa,2023-07-16,21.86808,16.4285,27.0285,0.0
Iowa,2023-07-17,20.640997,16.1785,24.8785,0.0
Iowa,2023-07-18,19.101416,13.528501,24.728498,0.1
Iowa,2023-07-19,21.820166,16.078499,29.1285,0.3
Iowa,2023-07-20,23.301414,20.478498,26.7785,0.0
Iowa,2023-07-21,21.20975,15.8285,25.8785,0.0
Iowa,2023-07-22,22.026413,16.078499,27.9285,0.0
Iowa,2023-07-23,23.42433,17.4285,29.1285,0.0
Iowa,2023-07-24,24.403498,17.828499,30.1785,0.0
Iowa,2023-07-25,26.295166,21.3785,31.7785,0.5
Iowa,2023-07-26,27.695166,22.7785,33.328503,0.0
Iowa,2023-07-27,27.7285,21.8785,33.2785,0.0
Iowa,2023-07-28,27.384745,23.478498,33.578503,2.3
Iowa,2023-07-29,25.165998,21.5285,28.2785,0.1
Iowa,2023-07-30,22.813913,17.8785,27.578499,0.0
Iowa,2023-07-31,23.213915,18.6285,28.4285,0.0
Iowa,2023-08-01,24.309746,19.5285,29.7785,0.0
Iowa,2023-08-02,24.068083,21.078499,27.1785,1.8000001
Iowa,2023-08-03,23.311834,18.978498,28.328499,0.1
Iowa,2023-08-04,24.432665,19.978498,29.328499,0.2
Iowa,2023-08-05,24.240997,20.1285,28.3785,1.2
Iowa,2023-08-06,21.69725,19.6785,26.728498,18.900002
Iowa,2023-08-07,20.949331,17.8785,25.228498,6.099999
Iowa,2023-08-08,21.151417,15.778501,25.9285,0.1
Iowa,2023-08-09,21.145164,16.828499,25.2785,4.6
Iowa,2023-08-10,21.93058,16.578499,27.828499,0.3
Iowa,2023-08-11,24.547249,20.1285,29.978498,11.3
Iowa,2023-08-12,24.070166,18.478498,28.328499,0.0
Iowa,2023-08-13,21.345167,17.578499,26.1285,0.90000004
Iowa,2023-08-14,19.853498,15.8285,22.5285,1.4
Iowa,2023-08-15,19.14725,13.778501,24.6285,0.0
Iowa,2023-08-16,20.024334,14.4785,26.7785,0.0
Iowa,2023-08-17,21.884748,18.8785,25.0285,1.1
Iowa,2023-08-18,18.972248,13.6285,25.1285,0.0
Iowa,2023-08-19,23.982666,18.5285,32.1285,0.0
Iowa,2023-08-20,27.957664,23.6785,33.1785,0.0
Iowa,2023-08-21,28.326418,24.2785,32.5285,0.2
Iowa,2023-08-22,27.920166,23.2785,33.7785,0.0
Iowa,2023-08-23,30.666,25.6785,37.328503,0.0
Iowa,2023-08-24,30.868086,26.1785,34.9285,0.0
Iowa,2023-08-25,28.105583,23.7785,32.7285,2.2
Iowa,2023-08-26,25.401415,21.7785,29.328499,0.0
Iowa,2023-08-27,20.838911,15.6785,24.978498,0.0
Iowa,2023-08-28,20.57225,15.0785,27.1285,0.0
Iowa,2023-08-29,23.530584,18.3785,28.6785,0.0
Iowa,2023-08-30,21.538916,15.9285,26.578499,0.0
Iowa,2023-08-31,19.980581,13.9785,25.1285,0.0
Iowa,2023-09-01,21.386833,15.6285,28.5285,0.0
Iowa,2023-09-02,24.255585,18.0285,32.5285,0.0
Iowa,2023-09-03,26.265997,20.2785,34.0285,0.0
Iowa,2023-09-04,27.386833,21.6785,34.3785,0.0
Iowa,2023-09-05,28.455584,23.728498,33.4285,0.2
Iowa,2023-09-06,22.920166,18.328499,30.828499,0.3
Iowa,2023-09-07,18.151419,12.028501,23.828499,0.0
Iowa,2023-09-08,18.480581,12.6785,25.078499,1.0
Iowa,2023-09-09,20.105581,13.4785,27.1285,0.0
Iowa,2023-09-10,20.938915,16.478498,25.1785,0.1
Iowa,2023-09-11,18.328497,15.8785,21.6285,16.2
Iowa,2023-09-12,16.77225,9.9285,22.478498,0.0
Iowa,2023-09-13,16.607666,12.2285,21.828499,0.0
Iowa,2023-09-14,18.0285,12.278501,25.1285,0.0
Iowa,2023-09-15,18.895166,14.2285,25.8785,0.0
Iowa,2023-09-16,17.409748,13.8285,21.978498,4.3999996
Iowa,2023-09-17,17.501417,11.9285,22.3785,0.0
Iowa,2023-09-18,17.84725,10.6785,24.1285,0.0
Iowa,2023-09-19,21.255583,17.578499,27.7785,0.0
Iowa,2023-09-20,20.176416,16.0285,26.3785,1.2
Iowa,2023-09-21,19.859749,13.528501,25.828499,0.3
Iowa,2023-09-22,18.815998,15.3785,23.9285,2.2
Iowa,2023-09-23,21.240995,16.728498,27.4285,1.1000001
Iowa,2023-09-24,20.751413,17.1785,24.0285,9.499999
Iowa,2023-09-25,19.393082,14.778501,24.478498,0.0
Iowa,2023-09-26,18.376417,14.0785,22.478498,1.4000001
Iowa,2023-09-27,17.245165,14.028501,21.7785,0.3
Iowa,2023-09-28,17.878498,13.6785,24.1785,0.0
Iowa,2023-09-29,21.09308,16.6285,28.728498,0.0
Iowa,2023-09-30,25.086836,20.4285,31.1785,0.0
Iowa,2023-10-01,24.665998,19.578499,30.578499,0.0
Iowa,2023-10-02,23.924332,18.578499,29.228498,0.0
Iowa,2023-10-03,24.236832,20.0285,29.0285,0.0
Iowa,2023-10-04,21.711832,17.8785,25.1285,0.4
Iowa,2023-10-05,16.082666,10.2285,21.328499,0.0
Iowa,2023-10-06,11.626416,7.7785,16.978498,0.2
Iowa,2023-10-07,9.597251,5.1785,13.6785,0.0
Iowa,2023-10-08,11.795166,6.5285,18.1285,0.0
Iowa,2023-10-09,10.849334,5.3285003,14.9785,0.0
Iowa,2023-10-10,9.14725,3.3285,15.8785,0.0
Iowa,2023-10-11,11.463917,7.8285003,14.8785,28.3
Iowa,2023-10-12,12.940999,10.4285,19.228498,17.7
Iowa,2023-10-13,15.80975,12.9285,19.0285,20.4
Iowa,2023-10-14,11.232667,9.6785,13.3285,14.100001
Iowa,2023-10-15,10.072252,7.4785004,12.028501,0.0
Iowa,2023-10-16,9.45975,5.5285,14.9785,0.0
Iowa,2023-10-17,10.547251,3.4785,18.228498,0.0
Iowa,2023-10-18,14.134749,10.9785,19.478498,0.2
