Commodity,Country,weeklyExports,grossNewSales,Date
Corn,CANADA,22093,181001,2009-09-03
Corn,MEXICO,80117,348669,2009-09-03
Corn,GUATEMALA,0,91826,2009-09-03
Corn,HONDURAS,0,2858,2009-09-03
Corn,NICARAGUA,0,0,2009-09-03
Corn,COSTA RICA,0,2700,2009-09-03
Corn,PANAMA,0,0,2009-09-03
Corn,CUBA,0,50000,2009-09-03
Corn,JAMAICA,0,0,2009-09-03
Corn,DOMINICAN REPUBLIC,0,91490,2009-09-03
Corn,LEEWARD-WINDWARD ISLANDS,0,1050,2009-09-03
Corn,BARBADOS,0,1500,2009-09-03
Corn,TRINIDAD AND TOBAGO,0,6000,2009-09-03
Corn,FRENCH WEST INDIES,0,9650,2009-09-03
Corn,COLOMBIA,0,354071,2009-09-03
Corn,VENEZUELA,25500,53744,2009-09-03
Corn,ECUADOR,0,0,2009-09-03
Corn,PERU,23510,160010,2009-09-03
Corn,UNITED KINGDOM,0,190,2009-09-03
Corn,SPAIN,0,80,2009-09-03
Corn,SYRIA,60000,25000,2009-09-03
Corn,VIETNAM,0,5582,2009-09-03
Corn,MALAYSIA,178,168,2009-09-03
Corn,INDONESIA,0,1397,2009-09-03
Corn,"KOREA, REPUBLIC OF",57750,291076,2009-09-03
Corn,HONG KONG,0,1167,2009-09-03
Corn,TAIWAN,4272,385903,2009-09-03
Corn,JAPAN,88950,2026034,2009-09-03
Corn,"OTHER PACIFIC ISLANDS, NEC",0,1640,2009-09-03
Corn,MOROCCO,17997,19939,2009-09-03
Corn,ALGERIA,26447,26447,2009-09-03
Corn,TUNISIA,0,20000,2009-09-03
Corn,EGYPT,130136,190136,2009-09-03
Corn,UNKNOWN,0,621414,2009-09-03
Corn,CANADA,21121,15173,2009-09-10
Corn,MEXICO,143545,165669,2009-09-10
Corn,GUATEMALA,18859,23977,2009-09-10
Corn,EL SALVADOR,16589,505,2009-09-10
Corn,HONDURAS,12319,279,2009-09-10
Corn,NICARAGUA,4718,0,2009-09-10
Corn,COSTA RICA,2775,22775,2009-09-10
Corn,PANAMA,9411,5000,2009-09-10
Corn,CUBA,26068,1068,2009-09-10
Corn,JAMAICA,0,1000,2009-09-10
Corn,DOMINICAN REPUBLIC,0,32170,2009-09-10
Corn,LEEWARD-WINDWARD ISLANDS,600,100,2009-09-10
Corn,BARBADOS,4386,0,2009-09-10
Corn,TRINIDAD AND TOBAGO,0,4700,2009-09-10
Corn,FRENCH WEST INDIES,6541,0,2009-09-10
Corn,COLOMBIA,17370,15651,2009-09-10
Corn,VENEZUELA,27812,27100,2009-09-10
Corn,SURINAM,0,0,2009-09-10
Corn,ECUADOR,0,0,2009-09-10
Corn,PERU,45970,8970,2009-09-10
Corn,ICELAND,0,0,2009-09-10
Corn,UNITED KINGDOM,0,0,2009-09-10
Corn,SWITZERLAND,0,0,2009-09-10
