Date,Value
2010-06-04,839
2010-06-11,839
2010-06-18,846
2010-06-25,832
2010-07-02,855
2010-07-09,821
2010-07-16,836
2010-07-23,816
2010-07-30,873
2010-08-06,866
2010-08-13,860
2010-08-20,835
2010-08-27,856
2010-09-03,875
2010-09-10,872
2010-09-17,850
2010-09-24,825
2010-10-01,863
2010-10-08,877
2010-10-15,881
2010-10-22,880
2010-10-29,865
2010-11-05,877
2010-11-12,895
2010-11-19,891
2010-11-26,885
2010-12-03,939
2010-12-10,937
2010-12-17,892
2010-12-24,913
2010-12-31,904
2011-01-07,888
2011-01-14,913
2011-01-21,922
2011-01-28,908
2011-02-04,900
2011-02-11,893
2011-02-18,888
2011-02-25,882
2011-03-04,883
2011-03-11,895
2011-03-18,913
2011-03-25,903
2011-04-01,902
2011-04-08,898
2011-04-15,856
2011-04-22,883
2011-04-29,875
2011-05-06,862
2011-05-13,900
2011-05-20,902
2011-05-27,909
2011-06-03,915
2011-06-10,880
2011-06-17,901
2011-06-24,893
2011-07-01,904
2011-07-08,872
2011-07-15,873
2011-07-22,874
2011-07-29,878
2011-08-05,908
2011-08-12,899
2011-08-19,904
2011-08-26,888
2011-09-02,896
2011-09-09,879
2011-09-16,871
2011-09-23,841
2011-09-30,863
2011-10-07,860
2011-10-14,908
2011-10-21,909
2011-10-28,916
2011-11-04,911
2011-11-11,916
2011-11-18,917
2011-11-25,930
2011-12-02,954
2011-12-09,938
2011-12-16,943
2011-12-23,962
2011-12-30,963
2012-01-06,944
2012-01-13,941
2012-01-20,934
2012-01-27,939
2012-02-03,923
2012-02-10,928
2012-02-17,919
2012-02-24,896
2012-03-02,906
2012-03-09,892
2012-03-16,893
2012-03-23,889
2012-03-30,873
2012-04-06,896
2012-04-13,884
2012-04-20,865
2012-04-27,894
2012-05-04,897
2012-05-11,904
2012-05-18,919
2012-05-25,902
2012-06-01,904
2012-06-08,920
2012-06-15,900
2012-06-22,883
2012-06-29,857
2012-07-06,821
2012-07-13,802
2012-07-20,796
2012-07-27,809
2012-08-03,817
2012-08-10,819
2012-08-17,823
2012-08-24,819
2012-08-31,829
2012-09-07,816
2012-09-14,834
2012-09-21,809
2012-09-28,785
2012-10-05,800
2012-10-12,797
2012-10-19,801
2012-10-26,825
2012-11-02,827
2012-11-09,824
2012-11-16,811
2012-11-23,803
2012-11-30,835
2012-12-07,824
2012-12-14,822
2012-12-21,834
2012-12-28,807
2013-01-04,826
2013-01-11,784
2013-01-18,792
2013-01-25,770
2013-02-01,774
2013-02-08,789
2013-02-15,797
2013-02-22,812
2013-03-01,805
2013-03-08,797
2013-03-15,809
2013-03-22,805
2013-03-29,807
2013-04-05,854
2013-04-12,832
2013-04-19,853
2013-04-26,857
2013-05-03,843
2013-05-10,857
2013-05-17,875
2013-05-24,863
2013-05-31,885
2013-06-07,884
2013-06-14,873
2013-06-21,885
2013-06-28,863
2013-07-05,881
2013-07-12,876
2013-07-19,853
2013-07-26,832
2013-08-02,853
2013-08-09,857
2013-08-16,844
2013-08-23,820
2013-08-30,819
2013-09-06,848
2013-09-13,838
2013-09-20,832
2013-09-27,875
2013-10-04,868
2013-10-11,869
2013-10-18,897
2013-10-25,911
2013-11-01,902
2013-11-08,927
2013-11-15,904
2013-11-22,927
2013-11-29,913
2013-12-06,944
2013-12-13,928
2013-12-20,926
2013-12-27,913
2014-01-03,919
2014-01-10,868
2014-01-17,905
2014-01-24,900
2014-01-31,895
2014-02-07,902
2014-02-14,903
2014-02-21,905
2014-02-28,894
2014-03-07,869
2014-03-14,891
2014-03-21,885
2014-03-28,922
2014-04-04,896
2014-04-11,939
2014-04-18,910
2014-04-25,898
2014-05-02,894
2014-05-09,922
2014-05-16,925
2014-05-23,927
2014-05-30,938
2014-06-06,944
2014-06-13,972
2014-06-20,938
2014-06-27,953
2014-07-04,927
2014-07-11,943
2014-07-18,959
2014-07-25,954
2014-08-01,902
2014-08-08,931
2014-08-15,937
2014-08-22,913
2014-08-29,921
2014-09-05,927
2014-09-12,931
2014-09-19,889
2014-09-26,881
2014-10-03,901
2014-10-10,885
2014-10-17,896
2014-10-24,937
2014-10-31,929
2014-11-07,946
2014-11-14,970
2014-11-21,982
2014-11-28,962
2014-12-05,988
2014-12-12,990
2014-12-19,992
2014-12-26,972
2015-01-02,949
2015-01-09,978
2015-01-16,979
2015-01-23,978
2015-01-30,948
2015-02-06,961
2015-02-13,964
2015-02-20,947
2015-02-27,931
2015-03-06,944
2015-03-13,947
2015-03-20,953
2015-03-27,952
2015-04-03,936
2015-04-10,924
2015-04-17,930
2015-04-24,921
2015-05-01,887
2015-05-08,912
2015-05-15,958
2015-05-22,969
2015-05-29,972
2015-06-05,992
2015-06-12,980
2015-06-19,994
2015-06-26,968
2015-07-03,987
2015-07-10,984
2015-07-17,973
2015-07-24,965
2015-07-31,961
2015-08-07,965
2015-08-14,965
2015-08-21,952
2015-08-28,948
2015-09-04,958
2015-09-11,961
2015-09-18,938
2015-09-25,943
2015-10-02,950
2015-10-09,949
2015-10-16,951
2015-10-23,944
2015-10-30,969
2015-11-06,982
