,Date,Open,High,Low,Close,Volume
0,2000-07-17 00:00:00-04:00,182.25,182.25,178.25,179.25,19385
1,2000-07-18 00:00:00-04:00,179.0,183.25,179.0,180.75,25205
2,2000-07-19 00:00:00-04:00,180.0,182.75,178.75,182.0,17126
3,2000-07-20 00:00:00-04:00,181.5,187.0,181.0,186.0,18742
4,2000-07-21 00:00:00-04:00,185.5,188.0,185.0,187.75,16814
5,2000-07-24 00:00:00-04:00,187.75,189.5,183.75,184.5,14615
6,2000-07-25 00:00:00-04:00,183.75,184.5,181.5,182.75,13883
7,2000-07-26 00:00:00-04:00,182.5,183.25,179.25,180.5,14762
8,2000-07-27 00:00:00-04:00,180.5,183.0,180.0,181.0,12353
9,2000-07-28 00:00:00-04:00,181.0,182.5,180.0,180.25,12850
10,2000-07-31 00:00:00-04:00,178.25,182.0,177.0,180.25,19481
11,2000-08-01 00:00:00-04:00,180.25,181.5,179.0,179.75,16626
12,2000-08-02 00:00:00-04:00,179.75,182.0,179.5,180.5,15230
13,2000-08-03 00:00:00-04:00,180.25,182.25,178.5,180.0,15137
14,2000-08-04 00:00:00-04:00,179.5,180.5,178.5,178.75,12389
15,2000-08-07 00:00:00-04:00,178.75,180.0,177.5,177.75,12616
16,2000-08-08 00:00:00-04:00,178.0,179.75,177.5,179.5,15584
17,2000-08-09 00:00:00-04:00,179.0,179.25,177.75,178.25,21466
18,2000-08-10 00:00:00-04:00,178.0,179.5,177.0,177.25,17658
19,2000-08-11 00:00:00-04:00,177.0,177.5,174.0,174.75,18551
20,2000-08-14 00:00:00-04:00,174.5,176.25,174.0,175.75,14873
21,2000-08-15 00:00:00-04:00,175.75,176.25,174.75,175.75,8128
22,2000-08-16 00:00:00-04:00,175.5,179.25,175.5,178.5,20428
23,2000-08-17 00:00:00-04:00,178.5,180.5,177.75,178.5,18718
24,2000-08-18 00:00:00-04:00,178.25,178.75,177.0,177.5,21695
25,2000-08-21 00:00:00-04:00,177.25,177.25,175.5,176.25,15683
26,2000-08-22 00:00:00-04:00,176.25,177.5,175.25,175.5,18264
27,2000-08-23 00:00:00-04:00,175.0,175.75,174.5,175.25,20807
28,2000-08-24 00:00:00-04:00,175.25,176.75,174.5,176.0,20764
29,2000-08-25 00:00:00-04:00,175.75,178.25,175.75,176.5,21622
30,2000-08-28 00:00:00-04:00,180.25,181.5,178.0,179.5,20965
31,2000-08-29 00:00:00-04:00,181.0,185.0,181.0,184.25,39334
32,2000-08-30 00:00:00-04:00,183.25,184.75,181.25,181.5,117
33,2000-08-31 00:00:00-04:00,180.75,182.0,180.75,182.0,32
34,2000-09-01 00:00:00-04:00,182.75,183.25,182.75,183.25,45
35,2000-09-05 00:00:00-04:00,184.0,186.0,183.5,183.5,2
36,2000-09-06 00:00:00-04:00,186.25,186.25,185.5,186.25,3
37,2000-09-07 00:00:00-04:00,181.5,181.5,181.0,181.0,3
38,2000-09-08 00:00:00-04:00,181.5,181.5,181.0,181.75,3
39,2000-09-11 00:00:00-04:00,181.5,181.5,181.0,184.25,19
40,2000-09-12 00:00:00-04:00,189.75,189.75,186.0,186.0,19
41,2000-09-13 00:00:00-04:00,189.75,189.75,186.0,182.5,1
42,2000-09-14 00:00:00-04:00,181.0,181.0,181.0,181.0,5
43,2000-09-18 00:00:00-04:00,188.0,188.0,187.75,184.0,6
44,2000-09-19 00:00:00-04:00,185.0,185.0,185.0,185.0,6
45,2000-09-20 00:00:00-04:00,185.0,185.0,185.0,183.5,6
46,2000-09-21 00:00:00-04:00,185.0,185.0,185.0,183.75,6
47,2000-09-22 00:00:00-04:00,185.0,185.0,185.0,186.25,6
48,2000-09-25 00:00:00-04:00,185.0,185.0,185.0,186.25,3
49,2000-09-26 00:00:00-04:00,190.0,190.0,190.0,190.0,3
50,2000-09-27 00:00:00-04:00,190.0,190.0,190.0,190.5,3
51,2000-09-28 00:00:00-04:00,190.0,190.0,190.0,190.5,3
52,2000-09-29 00:00:00-04:00,190.0,190.0,190.0,192.0,3
53,2000-10-02 00:00:00-04:00,190.0,190.0,190.0,192.0,3
54,2000-10-03 00:00:00-04:00,190.0,190.0,190.0,195.25,3
55,2000-10-04 00:00:00-04:00,190.0,190.0,190.0,199.5,3
56,2000-10-05 00:00:00-04:00,190.0,190.0,190.0,200.5,3
57,2000-10-06 00:00:00-04:00,190.0,190.0,190.0,199.5,3
58,2000-10-09 00:00:00-04:00,190.0,190.0,190.0,199.5,3
59,2000-10-10 00:00:00-04:00,190.0,190.0,190.0,197.5,3
60,2000-10-11 00:00:00-04:00,190.0,190.0,190.0,199.75,3
61,2000-10-12 00:00:00-04:00,190.0,190.0,190.0,200.5,3
62,2000-10-13 00:00:00-04:00,190.0,190.0,190.0,204.0,3
63,2000-10-16 00:00:00-04:00,190.0,190.0,190.0,204.0,2
64,2000-10-17 00:00:00-04:00,203.25,203.25,203.25,203.25,2
65,2000-10-18 00:00:00-04:00,203.25,203.25,203.25,202.0,2
66,2000-10-19 00:00:00-04:00,203.25,203.25,203.25,203.0,10
67,2000-10-23 00:00:00-04:00,200.75,200.75,200.75,200.75,10
68,2000-10-25 00:00:00-04:00,200.75,200.75,200.75,199.5,10
69,2000-10-26 00:00:00-04:00,200.75,200.75,200.75,198.0,10
70,2000-10-27 00:00:00-04:00,200.75,200.75,200.75,196.25,1
71,2000-10-30 00:00:00-05:00,196.0,196.0,196.0,196.0,1
72,2000-11-02 00:00:00-05:00,196.0,196.0,196.0,202.25,1
73,2000-11-06 00:00:00-05:00,196.0,196.0,196.0,209.5,1
74,2000-11-07 00:00:00-05:00,196.0,196.0,196.0,211.25,1
75,2000-11-08 00:00:00-05:00,196.0,196.0,196.0,213.5,1
76,2000-11-09 00:00:00-05:00,196.0,196.0,196.0,211.25,1
77,2000-11-13 00:00:00-05:00,196.0,196.0,196.0,208.75,1
78,2000-11-14 00:00:00-05:00,196.0,196.0,196.0,208.0,313
79,2000-11-15 00:00:00-05:00,208.75,209.0,208.5,208.5,357
80,2000-11-16 00:00:00-05:00,207.5,208.25,207.25,208.25,637
81,2000-11-17 00:00:00-05:00,208.5,210.5,208.5,209.25,475
82,2000-11-20 00:00:00-05:00,211.0,212.25,210.5,212.25,593
83,2000-11-21 00:00:00-05:00,210.5,211.0,210.25,210.25,289
84,2000-11-22 00:00:00-05:00,210.5,210.75,210.5,210.25,396
85,2000-11-24 00:00:00-05:00,211.0,211.0,210.5,210.75,357
86,2000-11-27 00:00:00-05:00,211.25,212.5,210.75,212.5,139
87,2000-11-28 00:00:00-05:00,210.5,210.5,209.75,209.75,218
88,2000-11-29 00:00:00-05:00,207.75,207.75,207.0,207.5,65
89,2000-11-30 00:00:00-05:00,205.0,206.0,205.0,205.0,6
90,2000-12-01 00:00:00-05:00,208.25,209.0,208.25,209.0,1
91,2000-12-04 00:00:00-05:00,210.0,210.0,210.0,210.0,3
92,2000-12-18 00:00:00-05:00,211.5,211.5,211.5,215.5,1
93,2000-12-21 00:00:00-05:00,218.0,218.0,218.0,218.0,773
94,2000-12-26 00:00:00-05:00,220.25,220.5,219.5,220.0,501
95,2000-12-27 00:00:00-05:00,218.0,220.5,217.0,220.25,23
96,2000-12-28 00:00:00-05:00,221.0,221.0,221.0,221.0,23
97,2000-12-29 00:00:00-05:00,221.0,221.0,221.0,222.5,23
98,2001-01-02 00:00:00-05:00,221.0,221.0,221.0,222.5,1466
99,2001-01-16 00:00:00-05:00,219.0,219.0,217.5,218.5,957
100,2001-01-17 00:00:00-05:00,216.0,217.0,215.5,216.25,519
101,2001-01-18 00:00:00-05:00,217.5,219.0,217.5,218.75,940
102,2001-01-19 00:00:00-05:00,218.25,219.5,218.0,218.5,519
103,2001-01-22 00:00:00-05:00,215.0,215.0,214.5,214.5,940
104,2001-01-23 00:00:00-05:00,215.75,216.75,215.5,216.5,134
105,2001-01-24 00:00:00-05:00,214.0,215.0,214.0,214.25,270
106,2001-01-25 00:00:00-05:00,215.0,215.5,214.0,214.5,217
107,2001-01-26 00:00:00-05:00,213.5,214.0,213.0,214.0,270
108,2001-01-29 00:00:00-05:00,209.5,210.0,208.75,208.75,481
109,2001-01-30 00:00:00-05:00,208.25,209.5,208.25,208.75,640
110,2001-01-31 00:00:00-05:00,209.25,209.75,208.5,208.5,263
111,2001-02-01 00:00:00-05:00,209.0,209.25,208.5,208.5,304
112,2001-02-02 00:00:00-05:00,211.0,211.75,211.0,211.5,146
113,2001-02-05 00:00:00-05:00,213.0,213.5,212.75,213.0,126
114,2001-02-06 00:00:00-05:00,211.75,212.0,211.5,211.5,266
115,2001-02-07 00:00:00-05:00,213.5,214.0,213.0,214.0,398
116,2001-02-08 00:00:00-05:00,212.0,212.0,211.25,211.25,266
117,2001-02-09 00:00:00-05:00,210.0,210.25,209.5,210.25,154
118,2001-02-12 00:00:00-05:00,210.0,210.5,209.75,209.75,441
119,2001-02-14 00:00:00-05:00,209.75,211.0,209.75,210.25,445
120,2001-02-15 00:00:00-05:00,212.5,214.0,212.5,213.5,179
121,2001-02-16 00:00:00-05:00,212.0,213.0,211.75,213.0,196
122,2001-02-20 00:00:00-05:00,212.0,213.25,211.75,212.5,341
123,2001-02-21 00:00:00-05:00,212.25,213.0,212.0,212.0,243
124,2001-02-22 00:00:00-05:00,210.5,210.75,210.0,210.0,283
125,2001-02-26 00:00:00-05:00,209.0,210.0,209.0,209.75,42
126,2001-02-27 00:00:00-05:00,209.25,209.5,209.25,209.5,212
127,2001-02-28 00:00:00-05:00,210.5,211.5,210.5,211.25,43
128,2001-03-01 00:00:00-05:00,214.0,214.5,214.0,214.5,46
129,2001-03-02 00:00:00-05:00,216.5,217.0,216.25,217.0,15
130,2001-03-05 00:00:00-05:00,216.0,216.0,216.0,215.5,7
131,2001-03-07 00:00:00-05:00,216.0,216.5,215.75,215.75,7
132,2001-03-08 00:00:00-05:00,216.0,216.0,215.75,213.25,2
133,2001-03-09 00:00:00-05:00,213.5,213.5,213.5,213.5,7
134,2001-03-12 00:00:00-05:00,213.5,213.5,213.0,213.5,5
135,2001-03-13 00:00:00-05:00,215.5,215.5,215.5,215.5,4
136,2001-03-14 00:00:00-05:00,214.0,214.0,214.0,211.5,993
137,2001-03-15 00:00:00-05:00,217.5,217.75,216.0,216.0,594
138,2001-03-16 00:00:00-05:00,211.0,213.0,211.0,211.5,569
139,2001-03-19 00:00:00-05:00,208.0,209.5,208.0,208.75,117
140,2001-03-20 00:00:00-05:00,209.0,209.75,209.0,209.75,314
141,2001-03-21 00:00:00-05:00,212.0,212.0,211.75,211.75,238
142,2001-03-22 00:00:00-05:00,210.0,210.0,208.5,208.5,706
143,2001-03-23 00:00:00-05:00,205.75,206.25,204.75,206.0,673
144,2001-03-26 00:00:00-05:00,208.5,209.0,207.5,208.5,178
145,2001-03-27 00:00:00-05:00,209.75,210.25,209.75,210.25,141
146,2001-03-28 00:00:00-05:00,210.75,210.75,210.0,210.5,374
147,2001-03-29 00:00:00-05:00,209.25,210.0,209.0,209.5,269
148,2001-03-30 00:00:00-05:00,207.25,207.25,206.0,206.5,321
149,2001-04-02 00:00:00-04:00,208.0,209.75,208.0,209.25,405
150,2001-04-04 00:00:00-04:00,209.0,210.25,208.25,210.25,449
151,2001-04-05 00:00:00-04:00,211.5,212.75,211.5,212.75,545
152,2001-04-06 00:00:00-04:00,212.0,214.0,212.0,213.75,193
153,2001-04-09 00:00:00-04:00,210.25,212.5,210.25,212.25,355
154,2001-04-10 00:00:00-04:00,211.25,211.75,211.0,211.0,375
155,2001-04-11 00:00:00-04:00,209.25,209.5,208.75,209.25,574
156,2001-04-12 00:00:00-04:00,210.5,210.75,210.0,210.5,496
157,2001-04-16 00:00:00-04:00,212.5,214.0,212.5,213.5,265
158,2001-04-17 00:00:00-04:00,212.0,213.0,211.75,212.75,176
159,2001-04-18 00:00:00-04:00,209.25,209.75,209.25,209.75,609
160,2001-04-19 00:00:00-04:00,209.0,209.75,209.0,209.0,332
161,2001-04-20 00:00:00-04:00,204.5,205.5,204.25,204.25,578
162,2001-04-23 00:00:00-04:00,202.25,203.25,201.5,201.5,67
163,2001-04-24 00:00:00-04:00,196.75,198.0,196.75,198.0,146
164,2001-04-25 00:00:00-04:00,194.5,195.0,194.5,194.5,67
165,2001-04-26 00:00:00-04:00,195.75,197.0,195.75,197.0,47
166,2001-04-27 00:00:00-04:00,199.25,199.25,198.25,198.25,102
167,2001-04-30 00:00:00-04:00,196.0,196.0,195.0,195.0,127
168,2001-05-01 00:00:00-04:00,199.0,199.5,199.0,199.25,30
169,2001-05-02 00:00:00-04:00,199.5,199.75,199.5,199.5,30
